City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
232,san matias,-16.3667,-58.4,82.56,36,6,4.68,BO,1692584563
233,jamul,32.717,-116.8761,66.22,93,75,18.41,US,1692584563
234,hobyo,5.3505,48.5268,76.95,88,92,18.32,SO,1692584564
235,alaghsas,17.0187,8.0168,85.15,53,100,7.63,NE,1692584564
236,hakui,36.8833,136.7833,95.92,59,1,5.01,JP,1692584565
237,mirny,62.5353,113.9611,55.24,62,20,8.99,RU,1692584565
238,kristiansund,63.1115,7.732,59.65,94,75,3.44,NO,1692584566
239,ta`u,-14.2336,-169.5144,80.62,77,65,17.83,AS,1692584143
240,arauquita,7.0292,-71.4281,76.3,91,100,1.77,CO,1692584567
241,funadhoo,6.15,73.2667,82.56,71,0,11.77,MV,1692584567
242,mayya,61.7333,130.2811,56.32,89,100,8.48,RU,1692584568
243,atmore,31.0238,-87.4939,81.73,81,0,5.55,US,1692584569
244,port macquarie,-31.4333,152.9167,71.89,58,10,11.27,AU,1692584053
245,asosa,10.0667,34.5333,60.49,89,100,4.23,ET,1692584570
246,mugia,43.1041,-9.2179,67.91,90,100,14.38,ES,1692584570
247,jijiga,9.35,42.8,65.79,56,100,17.25,ET,1692584571
248,daru,-9.0763,143.2092,78.12,76,84,15.64,PG,1692584271
249,lazaro cardenas,17.9583,-102.2,82.87,77,100,5.03,MX,1692584572
250,bangar,16.8936,120.4243,86.61,69,68,3.91,PH,1692584573
251,ibi,38.6253,-0.5723,70.59,93,2,1.72,ES,1692584573
252,tura,25.5198,90.2201,79.45,87,100,4.23,IN,1692584215
253,broken hill,-31.95,141.4333,67.37,39,94,17.09,AU,1692584574
254,timbuktu,16.7735,-3.0074,91.2,40,71,11.01,ML,1692584575
255,ancud,-41.8697,-73.8203,49.98,96,100,15.88,CL,1692584115
256,keflavik,64.0049,-22.5624,50.41,76,0,17.27,IS,1692584576
257,christchurch,-43.5333,172.6333,54.57,54,66,23.02,NZ,1692584302
258,suoyarvi,62.0833,32.35,53.73,76,70,3.87,RU,1692584577
259,nyurba,63.2842,118.3319,58.26,47,100,8.23,RU,1692584578
260,mejit,10.2753,170.8646,83.03,79,99,18.05,MH,1692584579
261,crane,31.3974,-102.3501,89.55,26,0,12.12,US,1692584186
262,lake havasu city,34.4839,-114.3224,86.05,60,99,26.46,US,1692584531
263,iskateley,67.6803,53.1512,42.84,94,100,9.84,RU,1692584580
264,llaillay,-32.85,-70.9667,59.25,73,100,3.42,CL,1692584581
265,blackwater,-23.5833,148.8833,75.69,63,0,10.25,AU,1692584581
266,pointe-noire,-4.7761,11.8635,69.96,92,20,4.61,CG,1692584582
267,worland,44.0169,-107.9554,67.3,63,0,4.61,US,1692584322
268,amursk,50.2261,136.8994,79.86,44,22,13.58,RU,1692584585
269,ormara,25.2088,64.6357,79.72,80,28,12.12,PK,1692584587
270,sa'dah,16.9402,43.7639,71.29,29,27,3.78,YE,1692584588
271,vila do maio,15.1333,-23.2167,79.59,88,100,3.04,CV,1692584588
272,porto novo,6.4965,2.6036,75.54,92,100,4.65,BJ,1692584589
273,arraial do cabo,-22.9661,-42.0278,68.41,95,65,12.19,BR,1692584219
274,rio grande,-32.035,-52.0986,48.94,80,76,6.33,BR,1692584317
275,mount isa,-20.7333,139.5,78.57,22,0,8.05,AU,1692584591
276,el playon,7.4713,-73.2031,79.07,96,99,4.29,CO,1692584591
277,nuuk,64.1835,-51.7216,48.81,81,17,15.01,GL,1692584366
278,thinadhoo,0.5333,72.9333,81.36,77,98,10.02,MV,1692584347
279,peace river,56.2501,-117.286,70.11,52,20,4.61,CA,1692584594
280,wusong,30.95,117.7833,86.36,68,19,9.91,CN,1692584594
281,mount gambier,-37.8333,140.7667,56.48,86,97,9.1,AU,1692584034
282,vila velha,-20.3297,-40.2925,69.75,94,100,8.05,BR,1692583994
283,kazanskoye,55.6448,69.235,55.99,54,100,6.44,RU,1692584596
284,lompoc,34.6391,-120.4579,76.23,75,75,13.8,US,1692584597
285,mana,5.6592,-53.7767,78.3,84,73,12.68,GF,1692584597
286,klamath falls,42.2249,-121.7817,72.19,51,0,0.0,US,1692584598
287,languyan,5.2618,120.0807,84.04,75,100,5.3,PH,1692584599
288,gadzhiyevo,69.2551,33.3362,47.17,86,100,17.58,RU,1692584146
289,ghadamis,30.1337,9.5007,85.35,31,0,9.84,LY,1692584600
290,george town,5.4112,100.3354,84.25,78,20,4.61,MY,1692584316
291,tshabong,-26.05,22.45,55.36,13,29,6.64,BW,1692584602
292,uva,56.9908,52.1852,52.48,65,99,3.11,RU,1692584602
293,young,-32.6833,-57.6333,47.1,72,59,2.44,UY,1692584603
294,tutoia,-2.7619,-42.2744,78.66,86,18,13.06,BR,1692584604
295,tabuk,17.4189,121.4443,85.37,69,98,3.51,PH,1692584604
296,illizi,26.4833,8.4667,84.0,18,7,14.09,DZ,1692584605
297,tinyahuarco,-10.75,-76.3,36.81,89,10,2.42,PE,1692584606
298,atafu village,-8.5421,-172.5159,83.61,77,66,20.69,TK,1692584119
299,smithers,54.7804,-127.1743,62.92,55,75,6.91,CA,1692584414
300,colonia,50.9333,6.95,66.09,85,0,4.61,DE,1692584022
